TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.495210 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.495376 -0.0215  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.545136 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.545181 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.575177 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.609170 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.609205 0.0429  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.609284 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.611068 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.682511 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.691553 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.691581 -0.0322  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.701171 194.9552  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:49.701199 -0.1  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.711656 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.746516 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.746557 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.798528 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.798616 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.798635 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.798757 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.798788 -0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.829712 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.838501 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.866517 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.866545 130.1862  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.887675 130.1861  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.896466 130.1862  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.896498 -0.0107  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.994625 130.1861  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.994715 130.1862  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.994872 -0.0322  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.044671 130.1861  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.054565 130.1862  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.062573 130.1861  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:50.090648 0.0215  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.120535 130.1862  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.144725 130.1861  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.180499 130.1862  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.180675 130.1861  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.190676 130.186  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:50.190712 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.200576 130.1861  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:50.200602 -11.3  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.210612 130.186  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.244702 130.1859  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.244737 130.1858  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.258481 130.1857  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.298713 130.1856  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.299018 130.1855  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.299043 130.1854  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:50.299072 0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.308573 130.1853  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.328626 130.1851  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.328669 130.185  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.338572 130.1848  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.359181 130.1846  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.359238 130.1843  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.366493 130.1842  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.376698 130.184  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.386600 130.1837  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.406641 130.1835  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:50.406667 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.406718 130.1832  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.444527 130.1829  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.444688 130.1827  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.444734 130.1823  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.444796 130.182  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.454621 130.1816  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.494591 130.1812  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.494742 130.1808  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.494764 130.1803  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.494781 130.1799  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:50.494815 -0.0143  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.504502 130.1794  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.544798 130.1788  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:50.544868 130.1783  
